id,input,output,source,letter,language,notes
28,Angalipaa juu kipungu kamwe hafiki mbinguni,"Even if a small ant jumps high, it will never reach the sky.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
29,"Angurumapo Simba, mcheza nani? (Who will dare to challenge the lion when it roars?) Asio mali, hasidi wa mwenye mali",He who has no wealth is envious of the wealthy.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
30,Asiye na bahati habahatiki,He who has no luck is not lucky.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
31,Asiye na mwana aeleke jiwe,He who has no child should adopt a stone.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
32,Asiyejua utu si mtu,He who does not know humanity is not a person.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
33,Asiyekubali kushindwa si mshindani,One who does not accept defeat is not a competitor.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
34,Asiyesafiri husifu upishi wa mama yake tu,One who does not travel praises only his mother’s cooking.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
35,Asiyesikia la mkuu huvunjika guu,One who does not listen to the older people’s advice will break his leg.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
36,Atangaye na jua hujua,One who travels with the sun knows.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
37,Avumaye baharini papa kumbe wengine wapo,"One who rules the ocean is sharks, but there are others too.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
38,Awali ni awali hakuna awali mbovu,"The beginning is the beginning, there is no bad beginning.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
39,Baada ya dhiki faraja,After hardship comes relief.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
40,Bahati ya mwenzio usiilalie mlango wazi,Do not covet your neighbor’s fortune.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
41,Balaa hukutia mtu wako,Misfortune befalls your own.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
42,Bandu bandu humaliza gogo,The anthill eats up the log.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
43,Baniani mbaya kiatu chake dawa,Even a bad Indian has a good pair of shoes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
44,Bao nene si chuma chembamba,A thick timber is not a thin metal.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
45,Barua ya moyo husomwa juu ya panda la uso,The letter of the heart is read on the forehead.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
46,Bendera hufuata upepo,The flag follows the wind.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
47,"Bilashi, bilashi, katu haitoshi","A little bit, a little bit, is never enough.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
48,Binadamu ni kama kilihafu hakosi uchafu,"Human beings are like a cooking pot, they never lack dirt.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
49,Bura yangu sibadili kwa rehani,I would not trade my things for other people’s things.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,B,sw,
50,Chanda chema huvikwa pete,A good thing is adorned with an award.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
51,"Chelewa chelewa, utakuta mwana si wako","If you delay, you will find that nothing waits for you.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
52,Chombo kilichopikiwa samaki hakiachi kunuka vumba,A pot that has cooked fish does not stop smelling of smoke.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
53,Chovya chovya humaliza buyu la asali,Tasting now and again will finish the honey jar.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
54,Chungu kidogo huchemka upesi,A small pot boils quickly.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
55,Chururu si ndondondo,A drop is not a flood.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,C,sw,
56,Dalili ya mvua ni mawingu,A sign of rain is clouds.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
57,Damu ni nzito kuliko maji,Blood is thicker than water.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
58,Dau la mnyonge haliendi joshi likienda joshi ni matakwa ya Mungu,"The weak person’s boat does not go far, if it goes far it is God’s will.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
59,Dawa ya deni kulipa,The cure for debt is to pay it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
60,Dawa ya jipu kulipasua,The cure for a boil is to lance it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
61,Dawa ya moto ni moto,The cure for fire is fire.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
62,Debe shinda haliachi kutika,A full basket does not stop leaking.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
63,Debe tupu haliachi kuvuma,An empty container does not stop making noise.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
64,Domo kaya samli kwa mwenye ngombe,A person who talks a lot is a blessing to a cattle owner.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
65,Dondandugu halina dawa,An incurable sore has no cure.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
66,Dua la kuku halimpati mwewe,A chicken’s prayer does not reach the eagle.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
67,Dunia hadaa ulimwengu shujaa,The world is a deceit; the universe is a hero.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,D,sw,
68,Eda ni ada yenye faida,A wife’s period of mourning after death or divorce of husband is a fee with benefits.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,E,sw,
69,Fadhila mpe mama na Mola atakubariki,Show kindness to your mother and God will bless you.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
70,Fadhila za punda mashuzi,Kindness from a donkey is useless.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
71,Fadhili ukitenda usingoje shukrani,Do good deeds without expecting thanks.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
72,Fahari isiyo na ari haina heri,Pride without effort is useless.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
73,Fimbo ya mbali haiuwi nyoka,A stick from afar cannot kill a snake.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
74,Fumbo mfumbie mjinga mwerevu huling’amua,Give a fool a riddle and it will be solved by a wise man.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
75,Funika kombe mwanaharamu apite,Cover the pot so the thief can pass by.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,F,sw,
76,Ganda la muwa la jana chungu kaona kivuno,Yesterday’s sugarcane husk is a source of pride for the ant.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,G,sw,
77,Ghururi na binadamu hawaachani,Pride and humans never part ways.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,G,sw,
78,Ghushi dhahabu na shaba dhambi na dhawabu havighushiki,Fake gold and copper are not as valuable as real gold and copper.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,G,sw,
79,Haba na haba hujaza kibaba,"Little by little, the calabash fills up.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
80,Hadhari kabla ya hatari,Be careful before danger strikes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
81,Hakuna bamvua lisilo usubi,There is no a good thing without a defect.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
82,Hakuna marefu yasiyokuwa na ncha,There is no length without an end.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
83,Hakuna masika yasiyokuwa na mbu,There is no rainy season without mosquitoes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
84,Hakuna ziada mbovu,There is no such thing as too much.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
85,Hamadi kibindo ni silaha iliyo mkononi,A ready-made plan is a weapon in the hand.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
86,Hapana maji yasiyo na mawimbi,There is no water without waves.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
87,Haraka haraka haina baraka,Haste has no blessings.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
88,Hasira hasara,Anger is a loss.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
89,Hasira ya mkizi furahaya mvuvi,The anger of the mullet fish is a joy to the fisherman.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
90,Hatua moja hufupisha safari,One step shortens the journey.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
91,Heri kujikwaa kidole kuliko ulimi,Better to stumble with the finger than with the tongue.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
92,Heri mchawi kuliko mtu fitina,It is better to be a witch than a troublemaker.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
93,Heri nusu shari kuliko shari kamili,It is better to have half of a bad thing than all of it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
94,Hewala! si utumwa,Accepting what someone else tells you is not slavery.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
95,Hindi ndiko kwenye nguo na wendao uchi wako,There are a lot of clothes in India but there are people who walk naked there.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
96,Huenda umaskini ukakaribia ukafiri,Poverty can be same as disbelief.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
97,Hukutia mtu wako,Yor enemy is the one who is close to you.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,H,sw,
98,Ibilisi wa mtu ni mtu,The devil of a person is a person.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,I,sw,
99,Ingiwa na shake,Crying alot.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,I,sw,
100,Inuka twende ni kwa waaganao,"Get up, let’s go; it’s for those who bid farewell.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,I,sw,
101,Ivushayo ni mbovu,The item that helped you to overcome your trouble is bad afterwards.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,I,sw,
102,Jambo la ukucha halichukuliwi shoka,A task that can be done with a hand should not be done with a hoe.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
103,Jaribu huleta fanaka,Trying brings success.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
104,Jawabu la kesho andaa leo,Prepare today for tomorrow’s answer.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
105,Jawabu wakatiwe na wakatiwe si zani,The answer is sometimes and sometimes not.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
106,Jimbi wa shamba hawiki mjini,The farm rooster does not crow in the town.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
107,Jino likingoka ukubwani halimei tena,A tooth that is pulled out in adulthood doesn’t grow again.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
108,Jogoo likiwika lisiwikae kutakucha,"Even if the rooster crows or it doesn’t, morning must come.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
109,Jogoo wa shamba hawiki mjini,The farm rooster does not crow in the town.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,J,sw,
110,Kafiri akufaaye si Islamu asiyekufaa,An unbeliever who helps is better than a Muslim who does not help.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
111,Kamba hukatikia pabovu,The rope breaks where it is weak.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
112,Katakata pua uunge wajihi,"Do something even if it’s tough, and it will increase your chances of success.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
113,Katiti ni tamu kingi kina kiembeza,Small is better; More brings harm.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
114,Kazi mbi si mchezo mwema,Bad work is not good.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
115,Kenda fumbata si kumi nenda uje kesho,Be content with what you have.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
116,Kichwa cha kuku hakihimili kilemba,A person of low status cannot be given a position of high honor.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
117,Kidole kimoja hakivunji chawa,It takes more than one person to accomplish a task.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
118,Kifo cha wengi harusi,A tragedy can be an opportunity for others to benefit.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
119,Kila mtoto na koja lake,Every child has their own unique personality.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
120,"Kila mwacha samboye, huenda ali mwanamaji",He who leaves his village may be a sailor.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
121,"Kila mwamba ngoma,huvutia kwake","When people do something, the first does it for their own benefit.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
122,"Kila mwamba ngoma, ngozi huivuta kwake","When people do something, the first does it for their own benefit.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
123,Kila ndege huruka kwa ubawa wake,Every bird flies with its own wings.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
124,Kilichoingia mjini si haramu,What enters the city is not forbidden.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
125,"Kilimia kikizama kwa jua huzuka kwa mvua, kikizama kwa mvua huzuka kwa jua","When a hoe sinks into the ground due to the sun, it will rise up due to the rain.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
126,Kimya kingi kina mshindo mkuu,A lot of silence means something.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
127,Kinyozi hajinyoi akinyoa kujikata,A barber does not shave himself.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
128,Kinywa ni jumba la maneno,The mouth is a house of words.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
129,Kipya kinyemi ingawa kidondo,"The new is always fresh, even though it’s a wound.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
130,Kisebusebu na kiroho ki papo,Some people pretend they don’t need something but they actual need it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
131,Kitanda usicholala huwajui kunguni wake,You do not know the bedbugs of a bed you have not slept in.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
132,Kitegwacho kukitega kwataka ubongo,Every work needs knowledge and wisdom to do it effectively.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
133,Kivuli cha mgude husaidia walio mbali,The shadow of a tree helps those who are far away.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
134,"Kujikwaa si kuanguka, bali ni kwenda mbele","Stumbles are not falls, but rather steps forward.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
135,Kukopa harusi kulipa matanga,Borrowing money is awesome but paying it back is a great deal.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
136,Kuku havunji yai lake,A chicken does not break its own egg.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
137,Kuku mgeni zawadi za kunguru,A guest chicken is a gift to the crows.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
138,Kula kutamu kulima mavune,"Eating is sweet, but farming is hard work.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
139,Kula ni vyepesi lakini kulima ngo,"Eating is easy, but farming is difficult.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
140,Kula uhondo kwataka matendo,To enjoye excitement requires action.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
141,Kulea mimba si kazi kazi kulea mwana,"Carrying a pregnancy is not work, but raising a child is.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
142,Kunguru mwoga hukimbiza bawa lake,A cowardly crow chases its own wing.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
143,Kutoa ni moyo si utajiri,"Giving is from the heart, not from wealth.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
144,Kutoa ni moyo usambe ni utajiri,"Giving is from the heart, it does require wealth.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
145,Kuvua si kazi kazi ni magawioni,Fishing is not the task; the real task is at the market.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
146,Kuvuja kwa pakacha nafuu kwa mchukuzi,Leakage in the basket benefits the carrier.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
147,Kuzima koleo si mwisho wa uhunzi,Resting is not the end of the work.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
148,Kwa mwari kwaliwa na kwa kungwi nako huliwa,"When you’re assisted, assist back also.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
149,Kwa mwendawazimu kumeingia mlevi,When something goes from bad to worse.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
150,Kwa mwoga huenda kicheko na kwa shujaa huenda kilio,Don’t do things that will land you in trouble.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
151,Kwea iliyo uchungu si uongo ulio mtamu,A bitter truth is better than a sweet lie.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
152,Kwendako mwinyi hurudi mwinyi,"As the saying goes, “What goes around comes around.”",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
153,Kwenye udongo hukosi mfinyanzi,There is always a potter where there is clay.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,K,sw,
154,La kuvunda halina ubani,Something that is already spoiled does not need incense.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
155,La mgambo likilia kuna jambo,"When there is a siren, there is something wrong.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
